ward_code,ward,lga,state,worldpop_total,meta_total,meta_u5,grid3_v3_total,worldpop_u5
RVSNDN06,Ikuru,Andoni,Rivers,9590.7,37716.6,4829.2,5517.0,3664.9
RVSABM17,Aktward 17,Akuku Toru,Rivers,1408.0,16155.7,1932.4,1744.9,1342.3
RVSABM01,Aktward 1,Akuku Toru,Rivers,4334.9,54431.2,6511.3,3888.8,6545.5
CRSANA12,Ward 12,Calabar South,Cross River,9354.5,33145.1,3952.0,8946.6,3042.9
BYSSPR09,Koluama,Southern Ijaw,Bayelsa,12183.2,34245.7,4174.1,13623.2,3514.8
BYSSPR07,Foropa,Southern Ijaw,Bayelsa,27827.9,62527.2,7642.3,28177.9,6849.0
CRSKTA02,Ikot Edem Odo,Akpabuyo,Cross River,24490.1,44568.7,5447.8,9638.0,5128.7
CRSBKS10,Atai Ema,Bakassi,Cross River,2403.6,5569.4,623.8,1281.1,1307.1
BYSBRS10,Sangana,Brass,Bayelsa,7151.9,18669.1,2210.6,7363.2,1982.2
BYSBRS03,Brass 3,Brass,Bayelsa,4621.7,9340.8,1105.9,3435.0,1273.3
BYSKMR01,Iduwini 1,Ekeremor,Bayelsa,19574.8,45276.2,6037.0,19166.5,7675.1
RVSBNY09,Boward 9,Bonny,Rivers,4037.0,7188.0,780.2,5429.2,860.7
RVSDEG03,Deward 3,Degema,Rivers,2391.6,10702.3,1285.5,2286.6,1271.6
RVSDEG01,Deward 1,Degema,Rivers,2129.0,7856.4,943.7,2769.2,494.1
RVSDEG04,Deward 4,Degema,Rivers,2024.3,9780.4,1174.8,2615.8,588.5
RVSDEG13,Deward 13,Degema,Rivers,5521.7,29822.1,3582.1,6306.8,1793.1
RVSNDN07,Samaga,Andoni,Rivers,15872.8,42566.0,5333.1,10321.7,4653.7
RVSDEG06,Deward 6,Degema,Rivers,3541.9,11584.1,1391.4,2918.0,1518.2
AKSRNN04,Esuk Oro,Oron,Akwa Ibom,3258.2,15823.4,1830.9,2164.1,1893.2
AKSRNN06,Uko Uyikim,Oron,Akwa Ibom,14653.2,87220.1,10132.8,15802.7,7768.6
AKSRNN05,Anamfa,Oron,Akwa Ibom,9008.9,88649.4,10154.8,4135.3,8875.8
AKSKRT06,Elekpom,Eastern Obolo,Akwa Ibom,3972.1,7136.4,898.0,4286.3,939.2
DTSBUR08,Ojobo,Burutu,Delta,5499.5,18421.8,2369.5,6502.0,1584.9
AKSBYF01,Eyonsek,Udung Uko,Akwa Ibom,3577.2,5454.1,655.1,1306.1,740.5
AKSENW06,Effiat 1,Mbo,Akwa Ibom,5060.0,7420.2,898.4,4240.2,1057.5
AKSKRT09,Iko,Eastern Obolo,Akwa Ibom,1158.8,3200.3,407.9,1083.9,590.4
AKSKRT08,Okoroiyong,Eastern Obolo,Akwa Ibom,11586.2,21907.8,2792.1,6793.9,2517.3
AKSKRT04,Okoromboko,Eastern Obolo,Akwa Ibom,2887.4,6539.1,833.3,2664.9,878.9
AKSPNG09,Iwuopom Opolom,Ibeno,Akwa Ibom,2443.7,3908.4,459.8,2298.4,416.9
AKSPNG10,Iwuoachang,Ibeno,Akwa Ibom,6457.0,8705.2,1022.3,7410.8,763.6
AKSBYF04,Eyobiosio,Udung Uko,Akwa Ibom,5699.4,8509.1,1035.5,3321.9,1097.8
AKSKRT05,Okoro Ete,Eastern Obolo,Akwa Ibom,8065.9,17474.1,2219.5,7194.7,2365.7
RVSNDN10,Ataba 2,Andoni,Rivers,25842.3,79334.1,9822.0,23290.0,10937.2
CRSANA09,Ward 9,Calabar South,Cross River,15340.9,15381.5,1757.4,31461.0,1719.5
CRSANA08,Ward 8,Calabar South,Cross River,7804.6,9809.3,1120.7,18931.9,870.3
CRSANA05,Ward 5,Calabar South,Cross River,7886.3,7459.3,852.2,15601.5,879.4
CRSANA04,Ward 4,Calabar South,Cross River,9279.5,9120.9,1042.1,17482.4,1066.4
CRSANA02,Ward 2,Calabar South,Cross River,10511.2,11186.0,1278.0,17148.1,1249.6
BNSMKD04,Central / South Mission,Makurdi,Benue,20476.4,13461.8,2032.0,16947.2,3155.3
ANSAWK11,Awka V 3 / Agu Oka,Awka South,Anambra,6265.8,1996.8,211.3,11814.5,640.7
OSSOSO13,Jagun 3 / Otun Hagun B,Osogbo,Osun,2700.2,3137.5,378.8,11025.5,314.5
ANSJJT11,Oba 3 / Nnobi 1,Idemili South,Anambra,21818.1,18941.9,2095.9,30053.5,2411.4
OSSOSO12,Jagun 2 / B,Osogbo,Osun,7717.6,6101.1,765.6,9895.8,1042.0
ANSNSH08,Army Barracks / Inland Town 2,Onitsha North,Anambra,35637.1,15354.5,1753.2,53491.3,4086.0
OYSOLE07,Molete,Orelope,Oyo,3073.8,3133.1,378.0,2519.9,532.6
CRSCAL07,Ikot Ishie / Six,Calabar Municipal,Cross River,20926.3,24154.7,3174.0,34413.7,2977.8
OYSISW10,Oritamerin / Ward 12 SW9 2,Ibadan South West,Oyo,3036.4,5549.8,672.9,4391.9,548.0
OYSISW01,Agbokojo / Ward 11 SW9,Ibadan South West,Oyo,9072.9,14937.7,1811.1,9695.0,1764.7
CRSCAL02,Edim Otop / Two,Calabar Municipal,Cross River,9673.9,8485.9,969.5,15960.7,1117.8
OSSOSO01,Akepe / Eketa,Osogbo,Osun,6867.3,8465.3,1064.5,10330.7,996.6
ANSNSH14,Water Works / Water-side Central 2,Onitsha North,Anambra,3765.4,1488.7,167.3,7218.9,410.2
NISBDA09,Masaga B / Masaga  2,Bida,Niger,15856.6,20427.2,3966.6,25075.1,6483.1
NASKEF01,Angwan-Rimi,Keffi,Nasarawa,11493.8,9436.0,1617.9,17580.5,2233.8
OGSABS11,Iporo / Sodeke / Sale-Ijeun 1,Abeokuta South,Ogun,12156.4,10152.8,1438.1,18627.0,2398.6
ANSFGG06,Fegge 3,Onitsha South,Anambra,987.0,617.4,70.3,1781.6,108.8
OGSABS06,Ibara 2,Abeokuta South,Ogun,17209.3,15718.0,2222.6,26477.7,2825.2
OGSABS10,Ijeun Titun / Ago-Egun / Ijesa,Abeokuta South,Ogun,22099.3,25433.8,3601.1,35333.4,3086.6
OGSABS14,Kuto / Imo / Isabo,Abeokuta South,Ogun,3904.4,4048.2,573.4,6588.8,567.8
ABSGWB13,Umuarukwu / Ward Six,Ugwunagbo,Abia,10802.5,10299.8,1267.4,4550.4,1359.3
ANSNSH13,Umudei / Inland Town 1,Onitsha North,Anambra,3609.1,523.6,59.6,7932.6,398.0
ANSNSH12,Umuaselle / Inland Town 3,Onitsha North,Anambra,2531.4,1270.3,144.5,5165.7,278.9
NISBDA06,Masaba A / Masaga 1,Bida,Niger,11228.0,54653.4,10612.8,17140.9,4367.4
CRSCAL09,Kasuk / Seven,Calabar Municipal,Cross River,26110.7,26117.1,3206.4,40087.0,3272.9
OSSOSO15,Popo / Otun Jagun 'A',Osogbo,Osun,11385.8,10146.0,1273.5,16526.5,1524.0
ANSNSH03,Emmanuel Church / Inland Town 6,Onitsha North,Anambra,4101.2,692.6,78.3,8026.9,448.5
ANSZBL11,Orumba / Ozubulu  1,Ekwusigo,Anambra,17889.6,21502.5,2440.5,21390.6,2076.4
NISBDA12,Umaru Majagi A / Umaru Majigi  1,Bida,Niger,12961.3,38161.9,7410.3,18667.1,4980.8
CRSCAL10,Big Qua / Four,Calabar Municipal,Cross River,22996.5,19422.7,2219.1,30001.6,2910.8
DTSAYB08,Owa-Alero / Owa 2,Ika North East,Delta,10919.1,12451.1,1492.9,18085.0,1367.9
DTSAYB10,Owanta / Owa  5,Ika North East,Delta,10804.6,8236.5,1009.6,21296.6,1310.9
DTSAYB03,Boji-Boji Owa 2 / Owa 4,Ika North East,Delta,6486.8,5780.1,708.5,12859.4,783.4
RVSRGM06,Usomili O / Omoku Town 4,Ogba/Egbema/Ndoni,Rivers,5518.8,6935.0,886.8,9584.0,858.5
RVSRGM02,Ahiahu / Omuku Town,Ogba/Egbema/Ndoni,Rivers,1720.9,2205.8,282.1,3170.1,290.0
AKSKET02,Urban 2,Eket,Akwa Ibom,35707.1,38833.7,4805.7,47040.8,4808.6
OSSIDN11,Oke-Iroko / Eesa Ikirun,Ifelodun,Osun,5546.6,4616.5,566.1,11922.7,658.7
AKSKTE04,Ikot Ekpene Urban / Ikot Ekpene 1,Ikot Ekpene,Akwa Ibom,41507.4,49880.1,5426.5,56532.0,4513.0
AKSKTE10,Ikot Inyang / Ikot Ekpene 6,Ikot Ekpene,Akwa Ibom,30430.9,43495.3,4731.9,44172.4,3468.6
AKSKTE02,Nsiak / Ikot Ekpene 4,Ikot Ekpene,Akwa Ibom,23405.0,11425.8,1306.0,17285.0,2574.0
AKSKTE11,Uruaobo / Ikot Ekpene 5,Ikot Ekpene,Akwa Ibom,18035.1,18367.7,2021.5,22951.5,1981.4
OSSION02,Afolu / Elerin A,Irepodun,Osun,12429.9,19090.0,2325.9,14073.7,2472.1
OSSION04,Aromiwe / Olobu D,Irepodun,Osun,16126.8,23430.7,2928.3,16467.6,2567.5
OSSION05,Balogun Jagba / Elerin D,Irepodun,Osun,5564.8,8276.3,1045.1,5211.4,761.0
OGSABS07,Igbore / Ago Oba,Abeokuta South,Ogun,6375.6,5891.8,834.5,10128.7,1071.2
LASAON03,Agboju and Environ,Amuwo Odofin,Lagos,7706.1,7775.1,829.2,12810.9,801.4
LASSMU05,Bashua East and West,Shomolu,Lagos,1728.0,5616.4,629.6,2912.0,752.2
ANSHAL17,Umuhu / Ubahuezi and Ubahu Ward,Ihiala,Anambra,19150.1,24298.8,2547.4,28859.2,1951.5
OSSIWO02,Gidigbo 2,Iwo,Osun,2989.3,2975.6,364.0,5201.4,516.7
ANSABN17,Nimo 3,Njikoka,Anambra,7588.5,9339.7,1095.9,12075.2,865.0
IMSMGD09,Awo 3,Oru East,Imo,6555.1,5873.4,635.9,13247.8,683.9
ANSABN11,Enugu Ukwu 3,Njikoka,Anambra,9427.5,10439.6,1222.0,10511.4,1100.3
ANSABN03,Abagana 3,Njikoka,Anambra,11002.6,11204.9,1314.7,15887.7,1265.5
ANSAWK08,Awka 3,Awka South,Anambra,10909.0,1434.8,151.7,23959.1,1115.5
OSSICL04,Ilare 3,Ife Central,Osun,8727.4,8781.7,1043.0,27620.0,1002.3
OSSICL08,Iremo 3,Ife Central,Osun,6771.2,9807.3,1137.6,21914.0,783.8
KWSFUF03,Akanbi 3,Ilorin South,Kwara,91841.1,94727.3,14917.1,124386.5,15454.2
KN3809,Unguwa Uku Kauyen Alu,Tarauni,Kano,17879.9,14893.1,2753.2,31283.0,3571.9
KN1209,Sabon Gari West,Fagge,Kano,15074.6,23786.4,4636.2,22025.3,5659.5
ANSNNE05,Otolo 3,Nnewi North,Anambra,13546.5,12776.3,1362.7,18181.5,1396.2
ANSUKP04,Amichi 3,Nnewi South,Anambra,37868.0,35277.5,3901.4,32150.5,4096.5
ANSUKP15,Ukpor 3,Nnewi South,Anambra,11860.3,10502.8,1101.1,12698.8,1204.5
IMSWER12,Ikenegbu 3,Owerri Municipal,Imo,10230.9,11565.0,1160.5,13562.0,1248.6
ANSUKP10,Ezinifite 3,Nnewi South,Anambra,6518.4,6356.2,666.4,6627.6,662.7
ANSFGG03,Bridge Head 3,Onitsha South,Anambra,1462.3,861.3,105.7,1674.6,202.9
ABSUMA19,Urban 3,Umuahia North,Abia,12147.4,13855.5,1536.6,19052.0,1332.1
ANSNEN09,Agulu 3,Anaocha,Anambra,16504.5,2395.2,253.2,14736.7,1739.7
ANSFGG13,Odoakpu 3,Onitsha South,Anambra,1127.5,138.3,15.8,2193.4,124.3
ANSATN12,Okpoko 3,Ogbaru,Anambra,4173.7,8955.1,1139.6,6949.4,929.0
EBSHKW39,Wigbeke 3,Ohaukwu,Ebonyi,4311.2,3278.8,492.9,6423.6,629.2
ANSAWK15,Nibo 2,Awka South,Anambra,8904.7,2904.3,307.0,12787.6,910.5
OYSODS06,Ijeru 2,Ogbomosho South,Oyo,4582.4,3579.2,396.5,8703.9,502.1
ANSABN14,Nawfia 2,Njikoka,Anambra,8474.9,6278.4,665.2,13854.7,872.5
OSSIWO12,Oke Adan 2,Iwo,Osun,16006.3,16692.2,2041.9,26516.1,2225.8
ANSABN10,Enugu Ukwu 2,Njikoka,Anambra,9531.5,11657.2,1367.3,12208.0,1138.2
OSSICL03,Ilare 2,Ife Central,Osun,6198.2,6892.7,818.6,20920.5,711.8
ANSAWK07,Awka 2,Awka South,Anambra,10867.6,14024.1,1482.4,21946.3,1111.3
ANSAWK02,Amawbia 2,Awka South,Anambra,4520.5,694.3,73.4,11151.9,462.2
ANSABN06,Abba 2,Njikoka,Anambra,5115.9,7125.5,836.1,8394.0,609.0
EDSUSL09,Ogida 2,Egor,Edo,44976.9,60269.3,7560.3,64937.2,7844.4
ODSANE04,Ikado 2,Akoko North East,Ondo,34908.5,51801.1,6040.8,31152.6,4611.1
OSSIWO05,Isale Oba 2,Iwo,Osun,3009.4,2932.6,358.7,4459.1,420.8
ABSACH02,Arochukwu 2,Arochukwu,Abia,12178.7,22004.1,2490.2,8441.6,1690.5
LASEOA12,Ikoyi 2,Eti Osa,Lagos,9202.6,6384.6,677.8,12538.0,1045.2
OYSISN03,Ekunle 1,Iseyin,Oyo,1670.8,1126.8,139.7,1159.1,204.0
LASMUN04,Babalosa 2,Mushin,Lagos,4160.0,13361.2,1480.0,7312.0,1918.3
LASAMO03,Abesan 2,Alimosho,Lagos,8432.4,17234.5,2461.7,14102.7,2934.7
OGSIUE11,Porogun 2,Ijebu Ode,Ogun,24820.8,23139.7,3142.9,43696.6,3341.9
KWSFUF10,Okaka 2,Ilorin South,Kwara,2560.0,2823.6,426.8,4220.1,621.8
KWSFUF07,Balogun Fulani 2,Ilorin South,Kwara,1728.0,1756.2,265.5,2618.3,431.6
KWSKEY04,Are 2,Ilorin East,Kwara,53413.4,53556.2,8179.5,50559.7,9881.8
KWSKEY06,Gambari 2,Ilorin East,Kwara,6309.4,6737.0,1030.3,9917.6,1240.3
EKSIEN05,Odose 2,Ise/Orun,Ekiti,10328.0,7028.0,864.4,14599.0,2077.2
IMSUMD02,Amandugba 2,Isu,Imo,30766.8,32936.6,3970.6,24399.7,4212.0
ANSAJL16,Oko 2,Orumba North,Anambra,13050.9,3134.0,342.1,16536.3,1381.6
ABSKPU15,Ngwaukwu 2,Isiala-Ngwa North,Abia,6940.8,2555.7,294.7,8059.0,774.1
IMSAFR12,Okirika-Nweke 2,Ahiazu-Mbaise,Imo,7305.9,11032.8,1326.1,7658.6,855.1
ANSNEN16,Neni 2,Anaocha,Anambra,10966.0,10790.8,1229.3,10212.6,1263.0
ABSNGK03,Abayi 2,Obi Nwga,Abia,28675.9,35538.3,4196.9,64769.9,3283.7
ANSJJT03,Awka Etiti 2,Idemili South,Anambra,11124.6,13706.1,1523.4,16082.2,1202.1
ANSNNE02,Nnewichi 2,Nnewi North,Anambra,22082.5,23958.3,2680.9,34489.8,2764.6
IMSMGD02,Akata 2,Oru East,Imo,7212.9,7243.9,796.0,12145.8,763.4
ANSNEN08,Agulu 2,Anaocha,Anambra,23594.7,13791.3,1524.4,20723.8,2568.3
IMSAWD15,Umuhuokabia 2,Orsu,Imo,8437.7,9621.9,1139.3,18650.1,965.7
ANSNEN04,Adazi Ani 2,Anaocha,Anambra,14483.2,10521.5,1198.6,14138.8,1648.6
ANSAGU19,Umuchu 2,Aguata,Anambra,16352.0,35794.0,4124.4,12288.4,1839.4
IMSMGD06,Amiri 2,Oru East,Imo,36250.5,35529.6,3914.1,66425.4,3874.4
ANSAGU02,Achina 2,Aguata,Anambra,26948.9,10485.7,1162.4,31795.8,2920.1
ANSFGG16,Odoakpu 6,Onitsha South,Anambra,1788.6,701.4,79.9,3668.1,197.2
ANSAJL08,Nanka 2,Orumba North,Anambra,13795.7,23967.5,2616.4,14568.8,1468.1
OYSINW09,Inalende,Ibadan North West,Oyo,2781.9,4673.9,592.5,5061.4,600.3
ANSAGU17,Uga 2,Aguata,Anambra,30199.7,43332.1,4803.7,32616.4,3253.6
IMSAFR09,Ogbe 2,Ahiazu-Mbaise,Imo,23843.8,13987.8,1672.2,24987.2,2799.0
IMSAWD09,Okwuamaraihe 2,Orsu,Imo,9417.1,10185.0,1205.9,20844.0,1077.8
ABSEZA07,Ogbor 2,Aba North,Abia,29963.4,25993.9,3058.4,51215.7,3593.1
ANSAGU07,Ekwulobia 2,Aguata,Anambra,38416.8,60762.9,6683.9,49135.6,4169.9
IMSAMG07,Amaigbo 2,Nwangele,Imo,18866.8,27782.1,3559.7,11526.2,3669.5
ANSNEN01,Adazi Enu 2,Anaocha,Anambra,18980.5,10119.2,1156.1,11607.9,2321.8
ANSNEN14,Ichida 2,Anaocha,Anambra,17000.6,18788.5,2140.4,15266.5,1925.3
IMSWER11,Ikenegbu 2,Owerri Municipal,Imo,11256.2,14602.0,1465.8,12665.1,1159.6
IMSNKR08,Owerre Nkwoji 2,Nkwerre,Imo,11286.6,11620.5,1291.3,9907.2,1314.3
ANSAGU09,Ezinifite 2,Aguata,Anambra,22935.3,23826.0,2641.3,15966.7,2491.6
ANSFGG05,Fegge 2,Onitsha South,Anambra,1210.7,829.8,94.5,1845.7,133.5
ANSFGG12,Odoakpu 2,Onitsha South,Anambra,2404.4,207.5,23.6,4023.6,265.2
ANSFGG17,Odoakpu 7,Onitsha South,Anambra,1468.1,1146.0,130.5,2764.7,161.9
ANSUKP03,Amichi 2,Nnewi South,Anambra,23912.1,32519.0,3676.5,30886.1,2624.6
ANSFGG02,Bridge Head 2,Onitsha South,Anambra,1326.7,1440.2,174.4,2108.3,218.8
IMSWER02,Aladinma 2,Owerri Municipal,Imo,15851.5,24575.1,2496.8,23667.7,1736.6
ANSATN11,Okpoko 2,Ogbaru,Anambra,2240.0,3358.2,427.4,3576.6,549.0
EDSBEN09,Ikpema,Oredo,Edo,1115.1,547.6,72.6,2760.6,143.2
ANSNEN02,Adazi Nnukwu 2,Anaocha,Anambra,11371.6,13269.7,1511.7,13184.7,1291.3
ABSEZA10,Osusu 2,Aba North,Abia,7913.4,11112.4,1297.3,12754.5,1471.9
ANSFGG10,Fegge 7,Onitsha South,Anambra,2644.7,983.0,111.9,4769.0,291.7
ANSNNE04,Otolo 2,Nnewi North,Anambra,10198.3,12995.5,1455.8,15718.2,1143.4
12503,Gamboru B,Ngala,Borno,1984.0,9756.1,2022.2,9250.0,2366.8
ANSUKP14,Ukpor 2,Nnewi South,Anambra,29038.5,32113.4,3785.0,31042.1,3362.6
12405,Gamboru,Maiduguri,Borno,12159.7,25203.2,4625.3,19878.7,6164.2
ANSAGU11,Igbokwu 2,Aguata,Anambra,23250.9,30097.3,3321.3,31915.3,2521.1
ANSNNE07,Umudim 2,Nnewi North,Anambra,48969.7,46763.5,5804.9,65405.4,6314.9
ANSFGG15,Odoakpu 5,Onitsha South,Anambra,1611.0,177.8,20.3,2724.8,177.7
ANSFGG08,Fegge 5,Onitsha South,Anambra,2822.0,1911.6,217.7,4122.9,351.7
ANSGDD06,Nkpor Agu 2,Idemili North,Anambra,30573.3,36116.5,4041.7,59440.2,3309.5
ENSNKW06,Abakpa 2 / Ugwogo / Federal Housing,Enugu East,Enugu,23558.0,52425.8,6767.2,31072.1,5048.2
OYSIBAN06,Igangan 4,Ibarapa North,Oyo,1801.9,1987.0,249.4,2595.5,345.9
ANSATN13,Okpoko 4,Ogbaru,Anambra,9520.4,9097.6,1157.7,11946.7,1696.9
IMSWER06,Azuzi 4,Owerri Municipal,Imo,5485.7,6333.9,635.6,5944.8,574.3
ANSAWK04,Awka 6,Awka South,Anambra,13158.4,15412.6,1629.2,27670.5,1345.5
ANSFGG09,Fegge 6,Onitsha South,Anambra,1157.4,711.3,81.0,2179.3,127.6
ANSATN15,Okpoko 6,Ogbaru,Anambra,25587.8,48096.7,6097.5,27326.1,5576.4
ABSUMA20,Urban 5,Umuahia North,Abia,13928.5,20151.5,2234.8,25654.9,1561.6
ANSAWK10,Awka 5,Awka South,Anambra,34828.1,55296.7,6523.5,48602.8,4076.8
LASEOA05,Apese / 6 Extension,Eti Osa,Lagos,17469.7,13995.1,1485.8,30689.3,1863.1
41409,Nasarawa,Funtua,Katsina,7449.7,8882.5,1783.4,12709.3,2061.1
ANSUKP17,Ukpor 5,Nnewi South,Anambra,18169.2,14262.1,1495.2,17386.0,1845.1
OSSIWO01,Gidigbo 1,Iwo,Osun,3424.2,3534.9,432.4,6237.6,517.2
OSSILA05,Isedo 1,Ila,Osun,3432.1,3253.1,408.5,8098.1,418.5
ABSUMA15,Ugba Urban 4,Umuahia North,Abia,8534.2,13628.7,1511.5,14312.7,961.3
LASIKA08,Ojodu,Ikeja,Lagos,16972.6,28538.8,2920.7,28508.0,2779.7
OSSIWO11,Oke Adan 1,Iwo,Osun,576.0,580.8,71.0,1008.0,102.8
OSSIWO08,Molete 1,Iwo,Osun,1600.0,1699.3,207.9,3136.0,280.0
KWSFUF06,Balogun Fulani 1,Ilorin South,Kwara,2688.0,2672.2,403.9,4374.6,675.9
ANSAWK01,Amawbia 1,Awka South,Anambra,4160.6,381.8,40.4,9629.6,425.4
EDSUSL05,Uselu 1,Egor,Edo,10789.1,9459.3,1211.8,20241.3,1764.6
EDSUSL07,Ogida 1,Egor,Edo,33852.5,37240.5,4672.3,48463.4,6685.9
ODSANE05,Ilepa 1,Akoko North East,Ondo,2776.5,3516.4,410.1,4515.4,508.7
LASEOA20,Victoria Island,Eti Osa,Lagos,17288.5,12062.1,1280.6,22954.6,1911.4
KWSKEY03,Are 1,Ilorin East,Kwara,4489.3,4875.0,736.9,6887.2,1114.8
IMSNKR07,Owerre Nkwoji 1,Nkwerre,Imo,3768.4,4708.5,522.2,4272.7,485.1
LASEOA11,Ikoyi 1,Eti Osa,Lagos,36117.9,37677.4,4032.7,50703.6,5349.2
LASSUE21,Sanusi 1,Surulere,Lagos,3840.0,13048.8,1445.4,7192.4,1449.6
LASMUN03,Babalosa 1,Mushin,Lagos,3776.0,12447.2,1382.1,6290.9,1643.7
LASAMO02,Abesan 1,Alimosho,Lagos,5855.1,11128.1,1589.5,8258.6,2080.8
KWSFUF09,Okaka 1,Ilorin South,Kwara,3995.6,4155.9,628.2,5744.6,936.7
KWSKEY12,Zango 1,Ilorin East,Kwara,8177.2,8404.9,1276.9,12214.0,1741.4
KWSKEY05,Gambari 1,Ilorin East,Kwara,3279.3,3414.0,516.0,5090.7,789.3
ANSAGU16,Uga 1,Aguata,Anambra,23697.2,41105.5,4556.4,26411.5,2538.3
IMSRRT15,Orji 1 and 2,Owerri North,Imo,51806.1,52839.8,6099.7,80154.9,6020.1
IMSRRT11,Obibi 1,Owerri North,Imo,23726.5,29917.7,3372.8,33493.7,2629.1
IMSUMD06,Ekwe 1,Isu,Imo,32301.9,45439.5,5703.3,23259.6,5842.2
ANSNNE06,Umudim 1,Nnewi North,Anambra,27906.9,27465.1,3311.2,35554.9,3311.6
ABSABA07,Eziukwu 1 / 2,Aba South,Abia,25769.0,62427.6,6689.8,32783.5,6604.0
IMSURU10,Osina 1 and 2,Ideato North,Imo,17920.9,18838.3,2249.6,22258.5,2070.4
ANSNEN17,Nri 1,Anaocha,Anambra,6332.1,3316.6,378.0,5168.7,815.3
ANSAGU08,Ezinifite 1,Aguata,Anambra,27357.0,43665.1,4840.6,25470.1,2941.4
ANSUKP08,Ezinifite 1,Nnewi South,Anambra,7223.4,7161.3,750.8,8920.5,733.1
ANSNEN03,Adazi Ani 1,Anaocha,Anambra,55589.9,55815.8,6358.6,53640.2,6358.1
ANSAGU06,Ekwulobia 1,Aguata,Anambra,27011.1,62538.6,6848.0,53142.2,2875.5
IMSRRT04,Egbu 1 and 2,Owerri North,Imo,13686.8,15302.7,1743.8,20800.7,1542.6
IMSWER14,New Owerri 1,Owerri Municipal,Imo,27314.6,25633.2,3039.4,80555.9,3204.6
ANSATN10,Okpoko 1,Ogbaru,Anambra,9740.5,9097.6,1157.7,12242.7,1970.0
ANSABN15,Nimo 1,Njikoka,Anambra,12327.2,8507.7,998.3,15589.0,1427.6
ANSNEN15,Neni 1,Anaocha,Anambra,29186.0,29971.8,3414.4,27149.7,3292.7
IMSUMD01,Amandugba 1,Isu,Imo,19976.1,27118.2,3492.6,12011.9,4260.6
IMSMGD05,Amiri 1,Oru East,Imo,10906.1,9673.1,1046.6,18243.6,1135.9
OYSONA11,Oremeji,Ona Ara,Oyo,36700.6,77427.8,10756.5,59769.6,10405.6
OYSATA06,Aremo,Atiba,Oyo,26670.5,36837.9,4755.7,43290.0,5021.1
IMSNGB13,Ubulu 1 and 2,Oru West,Imo,26272.3,29850.9,3365.9,26744.8,2869.5
ANSAJL15,Oko 1,Orumba North,Anambra,12549.9,5531.8,603.9,19520.2,1328.6
IMSAFR11,Okirika-Nweke 1,Ahiazu-Mbaise,Imo,14482.4,6953.2,835.8,13455.8,1732.7
IMSUML12,Osu-Owerre 1,Isiala Mbano,Imo,6276.2,4116.7,493.4,7048.7,734.3
ANSNEN13,Ichida 1,Anaocha,Anambra,18103.1,21940.5,2499.5,17386.2,2041.9
IMSETU12,Onicha 1,Ezinihitte,Imo,40992.1,57712.2,6596.9,35372.3,4602.3
ABSNGK02,Abayi 1,Obi Nwga,Abia,7961.4,10427.9,1231.5,18842.9,911.7
50603,Gwadangwaji,Birnin Kebbi,Kebbi,40980.2,40941.7,7956.5,34876.4,7926.9
ANSJJT05,Nnobi 1,Idemili South,Anambra,44076.0,41687.6,4640.9,50894.4,4957.7
ANSNNE03,Otolo 1,Nnewi North,Anambra,8237.0,9636.3,1027.7,14668.6,848.4
ABSEZA06,Ogbor 1,Aba North,Abia,9579.9,8894.4,1045.8,16289.2,1167.8
IMSNSA12,Umuaka 1,Njaba,Imo,34615.1,35370.4,4111.7,38788.4,4184.5
IMSMGD01,Akata 1,Oru East,Imo,13494.7,12124.3,1311.8,20521.8,1405.3
ANSAGU18,Umuchu 1,Aguata,Anambra,39339.5,19363.9,2213.9,41150.0,4392.5
ANSNEN07,Agulu 1,Anaocha,Anambra,6198.7,2557.2,270.3,6057.5,633.8
OYSOGN04,Isale Afon,Ogbomosho North,Oyo,1962.6,1414.0,156.6,3642.2,224.8
ANSAGU01,Achina 1,Aguata,Anambra,25306.0,6610.5,747.1,25571.7,2779.6
ANSGDD05,Nkpor Agu 1,Idemili North,Anambra,19794.6,15233.7,1704.8,30057.9,2146.2
ABSABA13,Ngwa 1 / 2,Aba South,Abia,15452.1,21192.8,2414.0,23053.1,2738.7
ANSNEN05,Adazi Enu 1,Anaocha,Anambra,13892.3,16724.5,1905.3,14456.5,1565.3
ANSUKP02,Amichi 1,Nnewi South,Anambra,27418.4,29184.5,3238.1,27921.3,3007.9
IMSAMG01,Abajah 1,Nwangele,Imo,27904.6,30867.4,3755.9,22865.2,3559.4
IMSNWA09,Ogwa 1,Mbatoli,Imo,20852.4,18563.0,2222.2,26912.6,2418.6
IMSWER01,Aladinma 1,Owerri Municipal,Imo,6464.4,7670.9,770.0,6985.9,666.4
CRSDUK08,Odot,Odukpani,Cross River,6041.1,9217.7,1179.4,2102.8,785.6
ANSAGU10,Igbokwu 1,Aguata,Anambra,33148.6,34616.2,3837.4,33501.9,3620.3
ANSFGG04,Fegge 1,Onitsha South,Anambra,1880.5,617.4,70.3,3063.0,207.4
ANSFGG11,Odoakpu 1,Onitsha South,Anambra,2421.5,790.3,90.0,4596.3,267.0
IMSWER10,Ikenegbu 1,Owerri Municipal,Imo,21385.8,23977.5,2406.1,27239.7,2649.0
ABSUMA02,Afugiri 1,Umuahia North,Abia,4350.5,3062.8,343.7,6776.8,486.1
IMSKED06,Atta 1,Ikeduru,Imo,13651.0,19116.5,2129.8,16535.5,1464.9
