ward_code,ward,lga,state,worldpop_total,meta_total,meta_u5,grid3_v3_total,worldpop_u5
AKSAFH04,Ukana East,Essien Udim,Akwa Ibom,42727.1,58413.1,7051.9,25005.9,5018.8
80303,Danfani Sabon Birni,Birnin Magaji-Kiyaw,Zamfara,27278.8,42696.6,8574.4,20034.1,7252.6
KN2210,Yola,Karaye,Kano,18448.6,15135.0,3113.5,11506.0,3779.5
KGSMPA08,Odole 2,Mopa-Muro,Kogi,3796.6,4009.0,660.5,3888.4,607.9
JI0404,Diginsa,Biriniwa,Jigawa,31888.0,27573.3,5599.4,23611.4,6499.4
JI0802,Doko,Garki,Jigawa,40183.1,33235.9,6865.7,43783.4,8314.0
71109,Kukayasku,Machina,Yobe,8699.3,6814.7,1259.3,7795.0,1589.4
KN0109,Toranke,Ajingi,Kano,29841.7,26741.5,5310.4,53452.4,5854.2
JI2509,Takatsaba,Sule Tankarkar,Jigawa,17384.0,7595.1,1464.2,20461.3,3334.4
42001,Fakuwa Kafin Dangi,Kankia,Katsina,32224.4,39252.1,8290.0,31738.1,6701.7
JI2308,Sintilmawa,Ringim,Jigawa,23186.0,28330.2,5546.3,38861.9,4505.1
BNSGKP06,Ikobi,Apa,Benue,1642.2,909.9,185.1,1649.9,327.9
EBSBZR16,Umuakuma,Ohaozara,Ebonyi,7562.3,7526.8,936.9,2772.7,952.7
KGSSAN07,Makutu 1,Yagba East,Kogi,19432.0,21536.7,3853.7,7643.5,3663.0
KN3705,Farun Ruwa,Takai,Kano,15549.7,16994.7,3273.2,22203.8,3142.6
BA1616,Gagidiba,Shira,Bauchi,8441.5,6941.4,1355.2,12892.8,1637.5
BNSGTU08,Okokolo,Agatu,Benue,4760.4,7228.4,1485.4,3150.4,961.1
42507,Malumfashi A,Malumfashi,Katsina,42298.2,48484.1,10218.7,52568.0,9302.8
BA1604,Disina A,Shira,Bauchi,11466.3,10235.2,2005.1,14976.9,2198.7
BNSNAK02,Gbaange-Tongov,Gwer West,Benue,4982.6,4257.9,878.0,2992.4,1009.8
40606,Kuraye,Charanchi,Katsina,25765.4,32663.3,6892.2,25436.9,5553.1
BA1611,Zubo,Shira,Bauchi,16216.7,23991.2,4750.2,23153.7,3148.5
42209,Wurma A,Kurfi,Katsina,14536.4,16417.9,3430.9,18168.2,2969.4
BA1606,Beli,Shira,Bauchi,10569.2,14416.8,2854.3,15710.6,2060.1
BA1617,Kilbori B,Shira,Bauchi,25587.4,20037.6,4027.1,19389.4,5074.0
BNSNAK12,Sengev / Yengev,Gwer West,Benue,3785.4,2738.9,564.7,2948.9,766.3
BNSNAK11,Sengev,Gwer West,Benue,2876.3,1841.3,379.7,1515.4,582.3
BNSNAK15,Tyoughatee / Ijaha,Gwer West,Benue,4141.3,4534.1,934.9,1719.9,838.4
BNSNAK06,Mbapa,Gwer West,Benue,2966.0,2738.9,564.7,4088.1,600.4
