ward_code,ward,lga,state,worldpop_total,meta_total,meta_u5,grid3_v3_total,worldpop_u5
JI0107,Gatafa,Auyo,Jigawa,6148.4,6907.1,1374.5,10288.2,1206.0
JI2505,Danzomo,Sule Tankarkar,Jigawa,13838.2,13416.0,2613.6,25269.1,2678.7
JI0803,Garki,Garki,Jigawa,25521.1,27213.0,5548.9,41543.2,5164.8
JI2011,Turbus,Maigatari,Jigawa,14857.2,11830.2,2349.4,13957.6,2910.8
JI2705,Gwarta,Yankwashi,Jigawa,10532.8,10637.7,2213.8,16509.1,2162.1
JI1708,Sabaru,Kazaure,Jigawa,23369.1,20449.4,4185.7,27343.7,4686.9
JI2708,Ringim,Yankwashi,Jigawa,6417.9,7510.5,1568.0,12210.3,1320.8
JI1702,Daba,Kazaure,Jigawa,22836.4,15187.4,3078.6,24581.2,4585.0
JI0701,Gagarawa Gari,Gagarawa,Jigawa,7931.9,5943.5,1197.8,8231.1,1580.0
JI0406,Kachallari,Biriniwa,Jigawa,9528.4,10490.7,2141.8,9919.2,1923.9
JI1507,Majawa,Kafin Hausa,Jigawa,34113.1,24889.8,4919.6,26335.7,6656.7
JI1601,Arbus,Kaugama,Jigawa,13064.5,15972.4,3180.9,17222.3,2569.4
JI1206,Gwiwa,Gwiwa,Jigawa,9317.1,10169.0,2013.4,16041.5,1818.1
JI2110,Tashena,Malam Madori,Jigawa,21437.9,19275.2,3874.0,17352.1,4244.2
JI0211,Takwasa,Babura,Jigawa,28473.0,36120.2,7217.1,28360.5,5622.5
JI0205,Gasakoli,Babura,Jigawa,24538.6,4207.8,840.8,27070.8,4845.6
JI1501,Bulangu,Kafin Hausa,Jigawa,66944.9,43494.0,8596.8,41631.2,13063.4
JI0804,Gwarzo,Garki,Jigawa,26277.6,13151.3,2701.1,38043.9,5295.0
JI2008,Maigatari Arewa,Maigatari,Jigawa,32768.2,34706.6,6909.0,26819.6,6404.5
JI1402,Gangawa,Jahun,Jigawa,40474.4,30441.3,6261.1,47748.8,8257.6
JI1905,Katanga,Kiyawa,Jigawa,20161.7,17589.0,3749.4,38665.1,4255.1
JI2604,Gujungu,Taura,Jigawa,20403.6,24305.0,4961.1,33675.8,4105.8
JI2201,Dangyatin,Miga,Jigawa,18620.5,18816.4,3796.9,25537.7,3729.0
JI2103,Fateka,Malam Madori,Jigawa,34812.9,34688.0,6937.8,39013.1,6850.0
JI0608,Kudai,Dutse,Jigawa,25159.1,30434.2,5952.2,56836.9,4863.8
